dataset,bootstrap,n_system_draws,n_unique_systems_drawn,alpha,feature,shapley_mse_utility
brspeech,30,6,4,10.0,auditory_erb,-7.0701464472840545
brspeech,30,6,4,10.0,beats,0.781613441755936
brspeech,30,6,4,10.0,ced,0.5095300542635418
brspeech,30,6,4,10.0,contentvec12,0.9743555027367066
brspeech,30,6,4,10.0,egemaps,2.339938867644587
brspeech,30,6,4,10.0,rmvpe_cont,0.06983090723674372
brspeech,30,6,4,10.0,rmvpe_quant,-0.048788597096350694
brspeech,30,6,4,10.0,speaker,0.744371593075323
brspeech,30,6,4,10.0,wavlm,1.1354726622442133
brspeech,30,6,4,10.0,whisper,1.048919826134944
brspeech,31,6,4,10.0,auditory_erb,0.14413400393845757
brspeech,31,6,4,10.0,beats,0.03866057000320182
brspeech,31,6,4,10.0,ced,0.22457855154862347
brspeech,31,6,4,10.0,contentvec12,0.12102830348384017
brspeech,31,6,4,10.0,egemaps,0.4549295949844541
brspeech,31,6,4,10.0,rmvpe_cont,0.0767865106989988
brspeech,31,6,4,10.0,rmvpe_quant,-0.9480746417185928
brspeech,31,6,4,10.0,speaker,0.19893541078505406
brspeech,31,6,4,10.0,wavlm,0.18934966918859544
brspeech,31,6,4,10.0,whisper,-0.0005469325375579463
brspeech,32,6,3,10.0,auditory_erb,-1.0220804112878903
brspeech,32,6,3,10.0,beats,-0.3153616370173557
brspeech,32,6,3,10.0,ced,0.21649456644632115
brspeech,32,6,3,10.0,contentvec12,0.1194664775681332
brspeech,32,6,3,10.0,egemaps,0.6672744222529642
brspeech,32,6,3,10.0,rmvpe_cont,0.22254285417424086
brspeech,32,6,3,10.0,rmvpe_quant,0.0016226748641652068
brspeech,32,6,3,10.0,speaker,0.3534011186461186
brspeech,32,6,3,10.0,wavlm,0.11619857593929178
brspeech,32,6,3,10.0,whisper,0.0014283028092131425
brspeech,33,6,4,10.0,auditory_erb,0.05030468146947167
brspeech,33,6,4,10.0,beats,-0.005503400392155152
brspeech,33,6,4,10.0,ced,0.10392597865619138
brspeech,33,6,4,10.0,contentvec12,0.033226784088751904
brspeech,33,6,4,10.0,egemaps,0.33061973169395675
brspeech,33,6,4,10.0,rmvpe_cont,0.07638628459796808
brspeech,33,6,4,10.0,rmvpe_quant,-0.04940766113095632
brspeech,33,6,4,10.0,speaker,0.14046651562374252
brspeech,33,6,4,10.0,wavlm,0.2982276997980657
