dataset,outer_fold,method,k,mask,features,inner_equal_system_mse,inner_utterance_mse,outer_utterance_mse,n_outer_systems,n_outer_items,weights_json
singmos,4,inner_search,3,772,wavlm+ced+egemaps,0.4026505958863777,0.4005886546426533,0.3812582210528398,6,390,"{""wavlm"": 0.32485042284457843, ""ced"": 0.37652006131989146, ""egemaps"": 0.29862951583553016}"
singmos,4,inner_search,4,780,wavlm+beats+ced+egemaps,0.3926606008223494,0.3902367129516951,0.3790001667600462,6,390,"{""wavlm"": 0.2763077781837251, ""beats"": 0.17730210572288896, ""ced"": 0.3005493392441161, ""egemaps"": 0.24584077684926992}"
singmos,4,inner_search,5,781,whisper+wavlm+beats+ced+egemaps,0.3854368608274983,0.3828716965498137,0.3766831670239061,6,390,"{""whisper"": 0.1248229241684551, ""wavlm"": 0.22508493758034834, ""beats"": 0.1583371026268251, ""ced"": 0.2719536792480944, ""egemaps"": 0.21980135637627715}"
singmos,4,inner_search,6,783,whisper+contentvec12+wavlm+beats+ced+egemaps,0.3817620843423938,0.3794121948064686,0.3764767665081192,6,390,"{""whisper"": 0.11464681609324419, ""contentvec12"": 0.08690708048564841, ""wavlm"": 0.20259586629385212, ""beats"": 0.14325694343186277, ""ced"": 0.257636688709291, ""egemaps"": 0.19495660498610157}"
singmos,4,inner_search,7,815,whisper+contentvec12+wavlm+beats+speaker+ced+egemaps,0.3795888978026108,0.3773579496494871,0.3830759688133529,6,390,"{""whisper"": 0.1067243762776273, ""contentvec12"": 0.08261674337493617, ""wavlm"": 0.19073867702197578, ""beats"": 0.1377177208180924, ""speaker"": 0.10427159179016755, ""ced"": 0.23478170412606444, ""egemaps"": 0.14314918659113635}"
singmos,4,inner_search,8,831,whisper+contentvec12+wavlm+beats+auditory_erb+speaker+ced+egemaps,0.3795756220652989,0.3773460681538638,0.3835832358245393,6,390,"{""whisper"": 0.10665428029830701, ""contentvec12"": 0.08245809930509936, ""wavlm"": 0.19024592530116535, ""beats"": 0.13713350867765317, ""auditory_erb"": 0.008900077974661044, ""speaker"": 0.1026856116510887, ""ced"": 0.23431190046246697, ""egemaps"": 0.1376105963295584}"
singmos,4,inner_search,9,959,whisper+contentvec12+wavlm+beats+auditory_erb+speaker+rmvpe_quant+ced+egemaps,0.3795756220645282,0.3773460618392,0.3835831000428518,6,390,"{""whisper"": 0.10665689505928683, ""contentvec12"": 0.08245946527125898, ""wavlm"": 0.19024336022463423, ""beats"": 0.13713456111882252, ""auditory_erb"": 0.00889882835596917, ""speaker"": 0.10268516253403176, ""rmvpe_quant"": 1.843620149258188e-20, ""ced"": 0.23431432959040124, ""egemaps"": 0.13760739784559525}"
singmos,4,inner_search,10,1023,whisper+contentvec12+wavlm+beats+auditory_erb+speaker+rmvpe_cont+rmvpe_quant+ced+egemaps,0.3795756260603978,0.3773460184828306,0.3835774072628559,6,390,"{""whisper"": 0.10665905498416701, ""contentvec12"": 0.08245083786744356, ""wavlm"": 0.19027988655258604, ""beats"": 0.13710472318335096, ""auditory_erb"": 0.008987666737826491, ""speaker"": 0.10255917591688658, ""rmvpe_cont"": 0.0, ""rmvpe_quant"": 0.0, ""ced"": 0.23434129502757248, ""egemaps"": 0.13761735973016698}"
tmhintqi,0,gate,1,4,wavlm,0.9967345761787012,1.0031361427403471,1.0061286411649737,16,2317,"{""wavlm"": 1.0}"
tmhintqi,0,gate,2,36,wavlm+speaker,0.9418627921717913,0.94642298876522,1.0688241087266408,16,2317,"{""wavlm"": 0.521907239366028, ""speaker"": 0.478092760633972}"
tmhintqi,0,gate,3,37,whisper+wavlm+speaker,0.9253874339466616,0.930303037602532,1.0230350678311844,16,2317,"{""whisper"": 0.25036742301200926, ""wavlm"": 0.3838317259923653, ""speaker"": 0.36580085099562537}"
tmhintqi,0,gate,4,45,whisper+wavlm+beats+speaker,0.9138263770461104,0.9196545789855296,0.9486667478548608,16,2317,"{""whisper"": 0.20387271183025313, ""wavlm"": 0.2785010867041326, ""beats"": 0.24195734043177466, ""speaker"": 0.27566886103383964}"
tmhintqi,0,gate,5,301,whisper+wavlm+beats+speaker+ced,0.9101840373321372,0.916288849204925,0.8936675622832856,16,2317,"{""whisper"": 0.1827829948054715, ""wavlm"": 0.24101356007375857, ""beats"": 0.18830951991800743, ""speaker"": 0.21682416268406193, ""ced"": 0.17106976251870043}"
