dataset,method,k,feature,selected_outer_folds,n_outer_folds,selection_frequency
bvcc,singleton,1,auditory_erb,0,5,0.0
bvcc,singleton,1,speaker,0,5,0.0
bvcc,singleton,1,rmvpe_cont,0,5,0.0
bvcc,singleton,1,rmvpe_quant,0,5,0.0
bvcc,singleton,1,ced,5,5,1.0
bvcc,singleton,1,egemaps,0,5,0.0
bvcc,singleton,2,whisper,0,5,0.0
bvcc,singleton,2,contentvec12,0,5,0.0
bvcc,singleton,2,wavlm,3,5,0.6
bvcc,singleton,2,beats,2,5,0.4
bvcc,singleton,2,auditory_erb,0,5,0.0
bvcc,singleton,2,speaker,0,5,0.0
bvcc,singleton,2,rmvpe_cont,0,5,0.0
bvcc,singleton,2,rmvpe_quant,0,5,0.0
bvcc,singleton,2,ced,5,5,1.0
bvcc,singleton,2,egemaps,0,5,0.0
bvcc,singleton,3,whisper,0,5,0.0
bvcc,singleton,3,contentvec12,0,5,0.0
bvcc,singleton,3,wavlm,4,5,0.8
bvcc,singleton,3,beats,4,5,0.8
bvcc,singleton,3,auditory_erb,0,5,0.0
bvcc,singleton,3,speaker,2,5,0.4
bvcc,singleton,3,rmvpe_cont,0,5,0.0
bvcc,singleton,3,rmvpe_quant,0,5,0.0
bvcc,singleton,3,ced,5,5,1.0
bvcc,singleton,3,egemaps,0,5,0.0
bvcc,singleton,5,whisper,5,5,1.0
bvcc,singleton,5,contentvec12,0,5,0.0
bvcc,singleton,5,wavlm,5,5,1.0
bvcc,singleton,5,beats,5,5,1.0
bvcc,singleton,5,auditory_erb,0,5,0.0
bvcc,singleton,5,speaker,5,5,1.0
bvcc,singleton,5,rmvpe_cont,0,5,0.0
bvcc,singleton,5,rmvpe_quant,0,5,0.0
bvcc,singleton,5,ced,5,5,1.0
bvcc,singleton,5,egemaps,0,5,0.0
singmos,gate,1,whisper,0,5,0.0
singmos,gate,1,contentvec12,0,5,0.0
singmos,gate,1,wavlm,0,5,0.0
singmos,gate,1,beats,0,5,0.0
singmos,gate,1,auditory_erb,0,5,0.0
singmos,gate,1,speaker,0,5,0.0
singmos,gate,1,rmvpe_cont,0,5,0.0
singmos,gate,1,rmvpe_quant,0,5,0.0
singmos,gate,1,ced,3,5,0.6
singmos,gate,1,egemaps,2,5,0.4
singmos,gate,2,whisper,0,5,0.0
singmos,gate,2,contentvec12,0,5,0.0
singmos,gate,2,wavlm,3,5,0.6
singmos,gate,2,beats,1,5,0.2
singmos,gate,2,auditory_erb,0,5,0.0
singmos,gate,2,speaker,0,5,0.0
singmos,gate,2,rmvpe_cont,0,5,0.0
singmos,gate,2,rmvpe_quant,0,5,0.0
singmos,gate,2,ced,3,5,0.6
singmos,gate,2,egemaps,3,5,0.6
singmos,gate,3,whisper,0,5,0.0
singmos,gate,3,contentvec12,0,5,0.0
singmos,gate,3,wavlm,4,5,0.8
singmos,gate,3,beats,1,5,0.2
singmos,gate,3,auditory_erb,0,5,0.0
singmos,gate,3,speaker,0,5,0.0
singmos,gate,3,rmvpe_cont,0,5,0.0
singmos,gate,3,rmvpe_quant,0,5,0.0
singmos,gate,3,ced,5,5,1.0
singmos,gate,3,egemaps,5,5,1.0
singmos,gate,5,whisper,3,5,0.6
singmos,gate,5,contentvec12,2,5,0.4
singmos,gate,5,wavlm,5,5,1.0
singmos,gate,5,beats,4,5,0.8
singmos,gate,5,auditory_erb,0,5,0.0
singmos,gate,5,speaker,1,5,0.2
singmos,gate,5,rmvpe_cont,0,5,0.0
singmos,gate,5,rmvpe_quant,0,5,0.0
singmos,gate,5,ced,5,5,1.0
singmos,gate,5,egemaps,5,5,1.0
singmos,inner_search,1,whisper,0,5,0.0
singmos,inner_search,1,contentvec12,0,5,0.0
singmos,inner_search,1,wavlm,0,5,0.0
singmos,inner_search,1,beats,0,5,0.0
singmos,inner_search,1,auditory_erb,0,5,0.0
singmos,inner_search,1,speaker,0,5,0.0
singmos,inner_search,1,rmvpe_cont,0,5,0.0
singmos,inner_search,1,rmvpe_quant,0,5,0.0
singmos,inner_search,1,ced,3,5,0.6
singmos,inner_search,1,egemaps,2,5,0.4
singmos,inner_search,2,whisper,0,5,0.0
singmos,inner_search,2,contentvec12,0,5,0.0
singmos,inner_search,2,wavlm,3,5,0.6
singmos,inner_search,2,beats,0,5,0.0
singmos,inner_search,2,auditory_erb,0,5,0.0
singmos,inner_search,2,speaker,0,5,0.0
singmos,inner_search,2,rmvpe_cont,0,5,0.0
singmos,inner_search,2,rmvpe_quant,0,5,0.0
singmos,inner_search,2,ced,4,5,0.8
singmos,inner_search,2,egemaps,3,5,0.6
singmos,inner_search,3,whisper,0,5,0.0
singmos,inner_search,3,contentvec12,0,5,0.0
singmos,inner_search,3,wavlm,5,5,1.0
singmos,inner_search,3,beats,2,5,0.4
singmos,inner_search,3,auditory_erb,0,5,0.0
singmos,inner_search,3,speaker,0,5,0.0
singmos,inner_search,3,rmvpe_cont,0,5,0.0
singmos,inner_search,3,rmvpe_quant,0,5,0.0
singmos,inner_search,3,ced,4,5,0.8
singmos,inner_search,3,egemaps,4,5,0.8
singmos,inner_search,5,whisper,3,5,0.6
singmos,inner_search,5,contentvec12,3,5,0.6
singmos,inner_search,5,wavlm,5,5,1.0
singmos,inner_search,5,beats,4,5,0.8
singmos,inner_search,5,auditory_erb,0,5,0.0
singmos,inner_search,5,speaker,0,5,0.0
