dataset,method,k,n_systems,n_items,utterance_mse,equal_system_mse,system_srcc
singmos,shapley,4,31,2000,0.3808527073276275,0.38175968155058726,0.8596774193548388
singmos,shapley,5,31,2000,0.38013183706725356,0.3811638953477542,0.8681451612903227
singmos,shapley,6,31,2000,0.3785282758304569,0.37952413137862206,0.867741935483871
singmos,shapley,7,31,2000,0.379056190488884,0.38004470976526195,0.8701612903225808
singmos,shapley,8,31,2000,0.37783144571108956,0.3787161453255431,0.8733870967741937
singmos,shapley,9,31,2000,0.375883021006626,0.3767952315404737,0.8717741935483871
singmos,shapley,10,31,2000,0.3735846654377961,0.37442043093712013,0.8770161290322582
singmos,singleton,1,31,2000,0.4657974353976782,0.4688520504175434,0.828225806451613
singmos,singleton,2,31,2000,0.4089690348057481,0.41051732517107514,0.833467741935484
singmos,singleton,3,31,2000,0.383268573334924,0.38412179209374137,0.8592741935483872
singmos,singleton,4,31,2000,0.3836290403478275,0.38443446050621694,0.8580645161290325
singmos,singleton,5,31,2000,0.38094256296759027,0.3818553280677663,0.8600806451612903
singmos,singleton,6,31,2000,0.3802757063707619,0.381308655322525,0.8681451612903227
singmos,singleton,7,31,2000,0.37852824647415606,0.3795240976749097,0.867741935483871
singmos,singleton,8,31,2000,0.37873486310393967,0.3796348334870265,0.8689516129032258
singmos,singleton,9,31,2000,0.3760269733996721,0.37695989616612613,0.8758064516129034
singmos,singleton,10,31,2000,0.3735846654377961,0.37442043093712013,0.8770161290322582
tmhintqi,gate,1,98,11644,1.002863235493492,0.9924156566387691,0.9484948851965807
tmhintqi,gate,2,98,11644,0.9601467806782712,0.9349619952218973,0.9587595673580817
tmhintqi,gate,3,98,11644,0.9348236317313764,0.9136557348705021,0.9595883926257804
tmhintqi,gate,4,98,11644,0.913515989271844,0.9014831577179857,0.9642489408618409
tmhintqi,gate,5,98,11644,0.9005134680650954,0.8974091663435028,0.9641086781242303
tmhintqi,gate,6,98,11644,0.9000016244582778,0.8964147548157706,0.9657727042386102
tmhintqi,gate,7,98,11644,0.9003614494871377,0.8965635726048616,0.96593846929215
tmhintqi,gate,8,98,11644,0.9003625843369925,0.8965646749886749,0.9659257181341854
tmhintqi,gate,9,98,11644,0.9003619148620793,0.8965639826901443,0.9659257181341854
tmhintqi,gate,10,98,11644,0.900363626006761,0.8965654706249704,0.9659257181341854
tmhintqi,inner_search,1,98,11644,0.9873127417769059,0.9764789055331277,0.9451859597047676
tmhintqi,inner_search,2,98,11644,0.9599613195265952,0.9345086125735922,0.9472070182421563
tmhintqi,inner_search,3,98,11644,0.923365779964041,0.9105103381316842,0.959065595149232
tmhintqi,inner_search,4,98,11644,0.913515989271844,0.9014831577179857,0.9642489408618409
tmhintqi,inner_search,5,98,11644,0.9106928175660066,0.8997551496333679,0.9644274570733451
tmhintqi,inner_search,6,98,11644,0.9000016244582778,0.8964147548157706,0.9657727042386102
tmhintqi,inner_search,7,98,11644,0.9003611100280512,0.8965631766439638,0.96593846929215
tmhintqi,inner_search,8,98,11644,0.9003609316117088,0.8965629144462323,0.96593846929215
