dataset,feature,relative_mse_tolerance,extreme,solver_success,weight,mse_threshold,loss,loss_active,n_active_lower_bounds,primal_residual,stationarity_residual,complementarity_residual,dual_fit_cost
bvcc,rmvpe_cont,0.005,min,1,0.0,0.24986283892513378,0.24861974022401373,0,4,0.0,4.882812500000006e-06,6.963603830906321e-23,5.364418029785156e-11
bvcc,rmvpe_cont,0.005,max,1,0.01565743519436313,0.24986283892513378,0.24986283892513425,1,3,4.718447854656915e-16,4.7801819169635e-09,5.511159311945557e-15,2.6793977692000534e-17
bvcc,rmvpe_quant,0.005,min,1,1.8211870110457504e-18,0.24986283892513378,0.24861974022401373,0,4,0.0,3.3306690738754696e-16,1.8211870110457496e-18,7.892943236838199e-32
bvcc,rmvpe_quant,0.005,max,1,0.014233674104532123,0.24986283892513378,0.24986283892514663,1,3,1.2850831510036187e-14,3.050368213575183e-08,1.3723246156804924e-13,1.1272241994149443e-15
bvcc,ced,0.005,min,1,0.12401574997261382,0.24986283892513378,0.24986283892513428,1,4,4.996003610813204e-16,5.595508056899234e-09,1.973048074702254e-14,3.6965921975682675e-17
bvcc,ced,0.005,max,1,0.32038818635557154,0.24986283892513378,0.24986283892513647,1,4,2.6922908347160046e-15,1.063670889145385e-07,1.063253692682309e-13,1.1811929298249852e-14
bvcc,egemaps,0.005,min,1,0.0,0.24986283892513378,0.24861974022401373,0,4,0.0,4.882812500000003e-06,6.963603830906318e-23,5.3644180297851516e-11
bvcc,egemaps,0.005,max,1,0.03197397503776055,0.24986283892513378,0.24986283892513397,1,3,1.942890293094024e-16,1.8090493547617825e-09,4.2020372146100105e-15,4.364938758684505e-18
bvcc,whisper,0.01,min,1,0.13624887245094666,0.2511059376262539,0.25110593762625394,1,4,1.1102230246251565e-16,3.7100711391957475e-10,1.2641352787334619e-15,1.0479111830031711e-19
bvcc,whisper,0.01,max,1,0.36271795311261457,0.2511059376262539,0.25110593762625405,1,4,1.6653345369377348e-16,1.5032735722897428e-08,3.792405849865923e-15,2.7763867419385545e-16
bvcc,contentvec12,0.01,min,1,0.0,0.2511059376262539,0.2511059376262538,1,1,1.1102230246251565e-16,2.220446049250313e-16,1.355854680848614e-31,3.6931186871156936e-32
bvcc,contentvec12,0.01,max,1,0.18341790930600674,0.2511059376262539,0.2511059376262577,1,4,3.83026943495679e-15,4.7376830680789794e-08,9.400149738337025e-14,1.413211026481096e-15
bvcc,wavlm,0.01,min,1,0.03185384274027884,0.2511059376262539,0.25110593762626277,1,4,8.881784197001252e-15,3.2476242806112054e-09,2.4176602131502156e-13,1.2688264661475492e-17
bvcc,wavlm,0.01,max,1,0.3025553327050761,0.2511059376262539,0.25110593762626005,1,4,6.161737786669619e-15,1.0404201677971514e-07,1.677251795160454e-13,1.1133442187458102e-14
bvcc,beats,0.01,min,1,0.07567594543474737,0.2511059376262539,0.2511059376262624,1,4,8.493206138382448e-15,2.3559696415986764e-09,2.1283637100292172e-13,3.978668553829094e-18
bvcc,beats,0.01,max,1,0.3248884214143844,0.2511059376262539,0.25110593762626987,1,4,1.5987211554602254e-14,6.954730769059836e-08,4.0063317362517664e-13,3.817899045163564e-15
bvcc,auditory_erb,0.01,min,1,9.507640430464103e-18,0.2511059376262539,0.24861974022401373,0,4,0.0,4.88281250000001e-06,9.507663642476873e-18,5.3644180297851535e-11
bvcc,auditory_erb,0.01,max,1,0.02539902508058174,0.2511059376262539,0.2511059376262673,1,3,1.3433698597964394e-14,8.974834575514734e-08,1.2639207218922714e-13,6.309015718376836e-15
bvcc,speaker,0.01,min,1,0.0,0.2511059376262539,0.2511059376262538,1,1,0.0,3.0183868647813527e-06,6.143762173938551e-21,1.71481719115113e-11
bvcc,speaker,0.01,max,1,0.22690324195983783,0.2511059376262539,0.25110593762625405,1,4,1.6653345369377348e-16,6.183860312702905e-09,4.268908151804088e-15,3.004378085455278e-17
bvcc,rmvpe_cont,0.01,min,1,0.0,0.2511059376262539,0.24861974022401373,0,4,0.0,4.882812500000006e-06,6.963603830906321e-23,5.364418029785156e-11
bvcc,rmvpe_cont,0.01,max,1,0.02931144357159403,0.2511059376262539,0.25110593762629596,1,3,4.207745263329343e-14,9.959591518171607e-08,4.3617459104359885e-13,1.1582510949316771e-14
bvcc,rmvpe_quant,0.01,min,1,1.8211870110457504e-18,0.2511059376262539,0.24861974022401373,0,4,0.0,3.3306690738754696e-16,1.8211870110457496e-18,7.892943236838199e-32
bvcc,rmvpe_quant,0.01,max,1,0.02676537815129874,0.2511059376262539,0.251105937626267,1,3,1.3100631690576847e-14,2.9882306740169895e-08,1.2506592607625496e-13,1.0317191205815476e-15
bvcc,ced,0.01,min,1,0.0833456867642422,0.2511059376262539,0.2511059376262539,1,4,1.1102230246251565e-16,2.860278680572037e-10,2.0076882318196507e-16,1.207780511225024e-19
bvcc,ced,0.01,max,1,0.36105824956392857,0.2511059376262539,0.25110593762625644,1,4,2.55351295663786e-15,7.561873593964208e-08,7.13079585214046e-14,4.1849338365129485e-15
