dataset,method,k,n_systems,n_items,utterance_mse,equal_system_mse,system_srcc,feature
TMHINT-QI,shapley,9,98,11644,0.9050507098912506,0.9000531810521102,0.9623426427461336,
TMHINT-QI,shapley,10,98,11644,0.9050507755301253,0.9000532059991126,0.9623426427461336,
TMHINT-QI,singleton,1,98,11644,0.986450178971738,0.975445552478847,0.9398814779914952,
TMHINT-QI,singleton,2,98,11644,0.918144784535085,0.92718618737596,0.952556129008305,
TMHINT-QI,singleton,3,98,11644,0.9208865786438628,0.9170996068296224,0.9527155184828624,
TMHINT-QI,singleton,4,98,11644,0.9067838807243312,0.9041976066708473,0.9590273416753382,
TMHINT-QI,singleton,5,98,11644,0.9047967701089528,0.900960830643693,0.9604682225253376,
TMHINT-QI,singleton,6,98,11644,0.9048414576635282,0.901122066371001,0.9606403631578596,
TMHINT-QI,singleton,7,98,11644,0.9050507663058974,0.9000532057950889,0.9623426427461336,
TMHINT-QI,singleton,8,98,11644,0.9050507443960784,0.900053207608978,0.9623426427461336,
TMHINT-QI,singleton,9,98,11644,0.9050507098912506,0.9000531810521102,0.9623426427461336,
TMHINT-QI,singleton,10,98,11644,0.9050507755301253,0.9000532059991126,0.9623426427461336,
