dataset,feature_i,feature_j,oof_pearson,oof_spearman,shapley_interaction_mse_utility
singmos,contentvec12,wavlm,0.5208443403244019,0.5242314989169164,0.003800162226187099
singmos,contentvec12,beats,0.42367011308670044,0.4210826286655289,0.002021019184415519
singmos,contentvec12,auditory_erb,0.2897951006889343,0.31665885408967837,0.012488216188543181
singmos,contentvec12,speaker,0.3680926561355591,0.36920656296307025,0.0030548138693467703
singmos,contentvec12,rmvpe_cont,-0.031229976564645767,-0.06492652434684278,0.011351108698663112
singmos,contentvec12,rmvpe_quant,0.20978696644306183,0.23003904154493604,0.02145906254739729
singmos,contentvec12,ced,0.45456039905548096,0.4609437589830406,-0.004287839307269739
singmos,contentvec12,egemaps,0.424578458070755,0.41045560146095056,0.00034180768746102595
singmos,wavlm,beats,0.5367855429649353,0.541517269316145,-0.02175865640034334
singmos,wavlm,auditory_erb,0.3859609365463257,0.42163045280495015,-0.008566523067178733
singmos,wavlm,speaker,0.4833555817604065,0.4778065711017723,-0.020617713030434793
singmos,wavlm,rmvpe_cont,-0.03840736299753189,-0.05373484898597078,-0.0033910472540103526
singmos,wavlm,rmvpe_quant,0.22924408316612244,0.29473169550921646,0.006440206952156216
singmos,wavlm,ced,0.596177339553833,0.5999437161606547,-0.028858382638815447
singmos,wavlm,egemaps,0.5727992057800293,0.5540243504991972,-0.027883682737891137
singmos,beats,auditory_erb,0.3999558687210083,0.41910636466256973,-0.00690325655359747
singmos,beats,speaker,0.45354557037353516,0.4575233904397028,-0.019244550194388678
singmos,beats,rmvpe_cont,-0.028125759214162827,-0.050657060449211075,-0.0024506395772713953
singmos,beats,rmvpe_quant,0.22537201642990112,0.31335795324959903,0.006856547509117825
singmos,beats,ced,0.6270557641983032,0.6302826458932893,-0.041938114475483346
singmos,beats,egemaps,0.5149210095405579,0.4953284355610868,-0.0290370384181134
singmos,auditory_erb,speaker,0.4124709367752075,0.45208407555539715,-0.016224959124091214
singmos,auditory_erb,rmvpe_cont,0.10626772791147232,0.06318266515106878,-0.012531829429939608
singmos,auditory_erb,rmvpe_quant,0.28444796800613403,0.4072984621574586,-0.0017137230297322884
singmos,auditory_erb,ced,0.45040762424468994,0.4949604879030544,-0.01638727346279497
singmos,auditory_erb,egemaps,0.5833371877670288,0.6099900082424571,-0.024250166354818595
singmos,speaker,rmvpe_cont,0.07168366014957428,0.03969631464737043,-0.010954966335325427
singmos,speaker,rmvpe_quant,0.19543641805648804,0.3004007834519994,0.00010640074163579536
singmos,speaker,ced,0.5117025375366211,0.5227914904964811,-0.029186700878734893
singmos,speaker,egemaps,0.5098211765289307,0.5168264305323266,-0.035391932237902865
singmos,rmvpe_cont,rmvpe_quant,0.07243276387453079,0.09093413849503916,0.0013249794952530452
singmos,rmvpe_cont,ced,-0.05116632580757141,-0.05938342445215667,-0.01011729099680252
singmos,rmvpe_cont,egemaps,0.09807007759809494,0.0818591976752574,-0.014167004049917843
singmos,rmvpe_quant,ced,0.28975385427474976,0.34743867680343277,0.00027973171998153166
singmos,rmvpe_quant,egemaps,0.23541642725467682,0.30929235821490514,-0.0034842129807105674
singmos,ced,egemaps,0.5967322587966919,0.605293755524246,-0.0460134081661348
tmhintqi,whisper,contentvec12,0.7085005640983582,0.6907911693970051,-0.085140127386741
tmhintqi,whisper,wavlm,0.7836102247238159,0.7705773189538272,-0.1055683987198046
tmhintqi,whisper,beats,0.7447783350944519,0.7223399759335195,-0.10250361171580175
tmhintqi,whisper,auditory_erb,0.17433612048625946,0.18761050830351086,-0.024716535634904564
tmhintqi,whisper,speaker,0.6604942083358765,0.6664804191898857,-0.08005649413220037
tmhintqi,whisper,rmvpe_cont,-0.05163421109318733,-0.040386907202575296,-0.0034888938064101564
tmhintqi,whisper,rmvpe_quant,0.05246005952358246,0.1180015939994959,-0.003199196621955981
tmhintqi,whisper,ced,0.7506039142608643,0.7305438698066321,-0.10033172464066763
tmhintqi,whisper,egemaps,0.6291986703872681,0.6005035364922678,-0.07621311300264726
tmhintqi,contentvec12,wavlm,0.7723041772842407,0.7516593240338997,-0.09157582974973959
tmhintqi,contentvec12,beats,0.7140836119651794,0.6897561293077847,-0.08720329126761601
tmhintqi,contentvec12,auditory_erb,0.14868131279945374,0.17313429918493284,-0.023569329136225243
tmhintqi,contentvec12,speaker,0.6158520579338074,0.619087032251759,-0.07226564860522211
tmhintqi,contentvec12,rmvpe_cont,-0.017620176076889038,-0.0008394440263891307,-0.0018336162905723333
tmhintqi,contentvec12,rmvpe_quant,0.049382634460926056,0.11036229124821045,-0.0028836135170092012
tmhintqi,contentvec12,ced,0.7244819402694702,0.696652462243074,-0.0884934466000263
tmhintqi,contentvec12,egemaps,0.6147485375404358,0.5899168444840116,-0.07299612353107328
tmhintqi,wavlm,beats,0.7873961925506592,0.7679449800678354,-0.10794645553556022
tmhintqi,wavlm,auditory_erb,0.1696365624666214,0.20033346401093086,-0.024495138077791648
tmhintqi,wavlm,speaker,0.6683883666992188,0.6838616716458504,-0.08034860607570826
tmhintqi,wavlm,rmvpe_cont,-0.06079650670289993,-0.034390082108953605,-0.002251072488349194
tmhintqi,wavlm,rmvpe_quant,0.053685784339904785,0.12451882639185773,-0.003232251376740512
tmhintqi,wavlm,ced,0.7935836315155029,0.7716745315007917,-0.1053696658315889
tmhintqi,wavlm,egemaps,0.6845065951347351,0.6528031396649557,-0.07894940475551208
tmhintqi,beats,auditory_erb,0.18846189975738525,0.20344934696287378,-0.02461530391477526
tmhintqi,beats,speaker,0.6589435935020447,0.6611983330132067,-0.08034140913593585
tmhintqi,beats,rmvpe_cont,-0.07958903163671494,-0.06038094358492435,-0.0019888666638511947
tmhintqi,beats,rmvpe_quant,0.04176360368728638,0.09989684592432571,-0.0031177347904923275
tmhintqi,beats,ced,0.8159811496734619,0.7942472554050186,-0.10720838620191757
tmhintqi,beats,egemaps,0.6604877710342407,0.6339356280318911,-0.07821362476974206
tmhintqi,auditory_erb,speaker,0.27346688508987427,0.2597851813306446,-0.025159262184626472
tmhintqi,auditory_erb,rmvpe_cont,0.23468831181526184,0.2722868575405728,-0.00990932942418724
tmhintqi,auditory_erb,rmvpe_quant,0.12310357391834259,0.3355179075333363,-0.0035990132348461515
tmhintqi,auditory_erb,ced,0.15523888170719147,0.2205957654598176,-0.02487371425041335
tmhintqi,auditory_erb,egemaps,0.34602221846580505,0.35277411519974794,-0.025174573545104623
tmhintqi,speaker,rmvpe_cont,0.030727144330739975,0.023900670133374522,-0.0025817674075168206
tmhintqi,speaker,rmvpe_quant,0.08311755955219269,0.18013939071496846,-0.003661556146718067
tmhintqi,speaker,ced,0.6483973860740662,0.6724853045818481,-0.08083156665581455
tmhintqi,speaker,egemaps,0.5880100131034851,0.562706790262003,-0.06914869037127117
tmhintqi,rmvpe_cont,rmvpe_quant,0.11870549619197845,0.39247205210068836,-0.002504819303710102
tmhintqi,rmvpe_cont,ced,-0.11330710351467133,-0.05466456702439901,-0.0022917960475881344
tmhintqi,rmvpe_cont,egemaps,0.061086878180503845,0.07511947702675834,-0.0024824069997795265
tmhintqi,rmvpe_quant,ced,0.04576705023646355,0.11481056452487345,-0.0034204917709003543
tmhintqi,rmvpe_quant,egemaps,0.08804027736186981,0.16992608361939093,-0.003608415247612422
tmhintqi,ced,egemaps,0.6734073758125305,0.6565645056662285,-0.07899219421143053
