scenario,dataset,k,method,reference,delta_pct
leave_out_brspeech,tmhintqi,3,shapley,inner_search,0.2824943756719938
leave_out_brspeech,tmhintqi,5,gate,inner_search,-0.26166335496165927
leave_out_brspeech,tmhintqi,5,singleton,inner_search,-0.07602496417420367
leave_out_brspeech,tmhintqi,5,shapley,inner_search,-0.2037992503113032
leave_out_bvcc,brspeech,1,gate,inner_search,-17.490798408123233
leave_out_bvcc,brspeech,1,singleton,inner_search,0.0
leave_out_bvcc,brspeech,1,shapley,inner_search,-17.490798408123233
leave_out_bvcc,brspeech,2,gate,inner_search,0.0
leave_out_bvcc,brspeech,2,singleton,inner_search,1.761219497009358
leave_out_bvcc,brspeech,2,shapley,inner_search,0.0
leave_out_bvcc,brspeech,3,gate,inner_search,-15.751300778414207
leave_out_bvcc,brspeech,3,singleton,inner_search,-12.729603023345316
leave_out_bvcc,brspeech,3,shapley,inner_search,-13.869382995669444
leave_out_bvcc,brspeech,5,gate,inner_search,-2.4141879333390084e-05
leave_out_bvcc,brspeech,5,singleton,inner_search,-9.875755126628782
leave_out_bvcc,brspeech,5,shapley,inner_search,-10.522189171886982
leave_out_bvcc,singmos,1,gate,inner_search,2.500843982251747
leave_out_bvcc,singmos,1,singleton,inner_search,0.0
leave_out_bvcc,singmos,1,shapley,inner_search,0.09176964249170064
leave_out_bvcc,singmos,2,gate,inner_search,3.667010545743305
leave_out_bvcc,singmos,2,singleton,inner_search,1.6961282337064054
leave_out_bvcc,singmos,2,shapley,inner_search,0.0
leave_out_bvcc,singmos,3,gate,inner_search,-1.2294990068467773
leave_out_bvcc,singmos,3,singleton,inner_search,-1.9752239797569837
leave_out_bvcc,singmos,3,shapley,inner_search,-1.2294990068467773
leave_out_bvcc,singmos,5,gate,inner_search,0.1579165419052117
leave_out_bvcc,singmos,5,singleton,inner_search,2.154925804652762
leave_out_bvcc,singmos,5,shapley,inner_search,1.9702583391831303
leave_out_bvcc,tmhintqi,1,gate,inner_search,1.7775334459995005
leave_out_bvcc,tmhintqi,1,singleton,inner_search,0.0
leave_out_bvcc,tmhintqi,1,shapley,inner_search,0.0
leave_out_bvcc,tmhintqi,2,gate,inner_search,0.050568827727576204
leave_out_bvcc,tmhintqi,2,singleton,inner_search,-0.9848771665593333
leave_out_bvcc,tmhintqi,2,shapley,inner_search,-0.8753472220193426
leave_out_bvcc,tmhintqi,3,gate,inner_search,0.35082733407357636
leave_out_bvcc,tmhintqi,3,singleton,inner_search,0.6100947604173163
leave_out_bvcc,tmhintqi,3,shapley,inner_search,0.2824943756719938
leave_out_bvcc,tmhintqi,5,gate,inner_search,-0.26166335496165927
leave_out_bvcc,tmhintqi,5,singleton,inner_search,-0.07602496417420367
leave_out_bvcc,tmhintqi,5,shapley,inner_search,-0.2037992503113032
leave_out_singmos,brspeech,1,gate,inner_search,-17.490798408123233
leave_out_singmos,brspeech,1,singleton,inner_search,0.0
leave_out_singmos,brspeech,1,shapley,inner_search,-17.490798408123233
leave_out_singmos,brspeech,2,gate,inner_search,0.0
leave_out_singmos,brspeech,2,singleton,inner_search,1.761219497009358
leave_out_singmos,brspeech,2,shapley,inner_search,0.0
leave_out_singmos,brspeech,3,gate,inner_search,-15.751300778414207
leave_out_singmos,brspeech,3,singleton,inner_search,-12.729603023345316
leave_out_singmos,brspeech,3,shapley,inner_search,-13.869382995669444
leave_out_singmos,brspeech,5,gate,inner_search,-2.4141879333390084e-05
leave_out_singmos,brspeech,5,singleton,inner_search,-9.875755126628782
leave_out_singmos,brspeech,5,shapley,inner_search,-10.522189171886982
leave_out_singmos,bvcc,1,gate,inner_search,0.0
leave_out_singmos,bvcc,1,singleton,inner_search,0.0
leave_out_singmos,bvcc,1,shapley,inner_search,0.0
leave_out_singmos,bvcc,2,gate,inner_search,1.7495295528414012
leave_out_singmos,bvcc,2,singleton,inner_search,3.504271150109644
leave_out_singmos,bvcc,2,shapley,inner_search,5.709492490330058
leave_out_singmos,bvcc,3,gate,inner_search,0.3894156084968223
leave_out_singmos,bvcc,3,singleton,inner_search,4.570549945615519
leave_out_singmos,bvcc,3,shapley,inner_search,1.9236257303118114
leave_out_singmos,bvcc,5,gate,inner_search,0.0
leave_out_singmos,bvcc,5,singleton,inner_search,-0.10925599872337627
leave_out_singmos,bvcc,5,shapley,inner_search,-0.10925599872337627
leave_out_singmos,tmhintqi,1,gate,inner_search,1.7775334459995005
leave_out_singmos,tmhintqi,1,singleton,inner_search,0.0
leave_out_singmos,tmhintqi,1,shapley,inner_search,0.0
leave_out_singmos,tmhintqi,2,gate,inner_search,0.050568827727576204
leave_out_singmos,tmhintqi,2,singleton,inner_search,-0.9848771665593333
leave_out_singmos,tmhintqi,2,shapley,inner_search,-0.8753472220193426
leave_out_singmos,tmhintqi,3,gate,inner_search,0.35082733407357636
leave_out_singmos,tmhintqi,3,singleton,inner_search,0.6100947604173163
leave_out_singmos,tmhintqi,3,shapley,inner_search,0.2824943756719938
leave_out_singmos,tmhintqi,5,gate,inner_search,-0.26166335496165927
leave_out_singmos,tmhintqi,5,singleton,inner_search,-0.07602496417420367
leave_out_singmos,tmhintqi,5,shapley,inner_search,-0.2037992503113032
leave_out_tmhintqi,brspeech,1,gate,inner_search,-17.490798408123233
leave_out_tmhintqi,brspeech,1,singleton,inner_search,0.0
leave_out_tmhintqi,brspeech,1,shapley,inner_search,-17.490798408123233
leave_out_tmhintqi,brspeech,2,gate,inner_search,0.0
leave_out_tmhintqi,brspeech,2,singleton,inner_search,1.761219497009358
leave_out_tmhintqi,brspeech,2,shapley,inner_search,0.0
leave_out_tmhintqi,brspeech,3,gate,inner_search,-15.751300778414207
leave_out_tmhintqi,brspeech,3,singleton,inner_search,-12.729603023345316
leave_out_tmhintqi,brspeech,3,shapley,inner_search,-13.869382995669444
leave_out_tmhintqi,brspeech,5,gate,inner_search,-2.4141879333390084e-05
leave_out_tmhintqi,brspeech,5,singleton,inner_search,-9.875755126628782
leave_out_tmhintqi,brspeech,5,shapley,inner_search,-10.522189171886982
leave_out_tmhintqi,bvcc,1,gate,inner_search,0.0
leave_out_tmhintqi,bvcc,1,singleton,inner_search,0.0
leave_out_tmhintqi,bvcc,1,shapley,inner_search,0.0
leave_out_tmhintqi,bvcc,2,gate,inner_search,1.7495295528414012
leave_out_tmhintqi,bvcc,2,singleton,inner_search,3.504271150109644
leave_out_tmhintqi,bvcc,2,shapley,inner_search,5.709492490330058
leave_out_tmhintqi,bvcc,3,gate,inner_search,0.3894156084968223
leave_out_tmhintqi,bvcc,3,singleton,inner_search,4.570549945615519
leave_out_tmhintqi,bvcc,3,shapley,inner_search,1.9236257303118114
leave_out_tmhintqi,bvcc,5,gate,inner_search,0.0
leave_out_tmhintqi,bvcc,5,singleton,inner_search,-0.10925599872337627
leave_out_tmhintqi,bvcc,5,shapley,inner_search,-0.10925599872337627
leave_out_tmhintqi,singmos,1,gate,inner_search,2.500843982251747
leave_out_tmhintqi,singmos,1,singleton,inner_search,0.0
leave_out_tmhintqi,singmos,1,shapley,inner_search,0.09176964249170064
leave_out_tmhintqi,singmos,2,gate,inner_search,3.667010545743305
leave_out_tmhintqi,singmos,2,singleton,inner_search,1.6961282337064054
leave_out_tmhintqi,singmos,2,shapley,inner_search,0.0
leave_out_tmhintqi,singmos,3,gate,inner_search,-1.2294990068467773
leave_out_tmhintqi,singmos,3,singleton,inner_search,-1.9752239797569837
leave_out_tmhintqi,singmos,3,shapley,inner_search,-1.2294990068467773
leave_out_tmhintqi,singmos,5,gate,inner_search,0.1579165419052117
leave_out_tmhintqi,singmos,5,singleton,inner_search,2.154925804652762
leave_out_tmhintqi,singmos,5,shapley,inner_search,1.9702583391831303
